,Latitude,Longitude
0,40.862617684,-73.9265413085
1,40.7028239719,-73.8298510991
2,40.7518271511,-73.8808872361
3,40.8316306576,-73.9276632103
4,40.8719083257,-73.8457183865
5,40.7074479105,-73.8988890125
6,40.7510201735,-73.787453172
7,40.6954006981,-73.8953407451
8,40.6448307676,-73.9536737868
9,40.7473405247,-73.8598618967
10,40.6037782937,-73.9761092784
11,40.8396013978,-73.9195229958
12,40.6895961667,-73.8598354174
13,40.6935651902,-73.8599028019
14,40.8187004569,-73.8594514979
15,40.6540114249,-73.9521032903
16,40.7895648986,-73.9419916251
17,40.8315012082,-73.8890955922
18,40.8426030317,-73.8477235565
19,40.8719333742,-73.9010723183
20,40.8182001098,-73.8229879231
21,40.8575730416,-73.8978437946
22,40.8702376602,-73.8924369639
23,40.7536612234,-73.8550517575
24,40.5942888061,-73.9630203729
25,40.7118630438,-73.9522204322
26,,
27,40.8544159084,-73.8627558918
28,40.6745977809,-73.868342488
29,40.6371102658,-73.9087598685
30,40.6711681515,-73.8136989892
31,40.6028114937,-73.9732430673
32,40.7252329311,-73.8522165083
33,40.6992806906,-73.900271837
34,40.65685044,-73.9543430145
35,40.7074479105,-73.8988890125
36,40.628749667,-73.9727247014
37,40.8174116175,-73.9000622964
38,40.904247397,-73.8465730234
39,40.639547931,-74.0071343059
40,40.6100949149,-73.9405772781
41,40.6773864739,-73.9470211547
42,40.628749667,-73.9727247014
43,40.8760091643,-73.8565604988
44,40.8475159939,-73.9179013751
45,40.8187004569,-73.8594514979
46,40.6278765687,-73.9018231598
47,40.8702376602,-73.8924369639
48,40.6851410786,-73.8737878403
49,40.6659828955,-73.9923798486
50,40.73996499,-73.8898181213
51,40.6452188045,-73.9958703993
52,40.7137246321,-73.9612226567
53,40.7435591231,-73.8539333504
54,40.6850111013,-73.8500989931
55,40.6870457894,-73.8787421482
56,40.7075072053,-73.8092583688
57,40.7647957772,-73.9109314262
58,40.6912834939,-73.8198775388
59,40.7606257239,-73.9099190568
60,40.8284993515,-73.9377805711
61,40.8739494721,-73.8849207566
62,40.8693299659,-73.893298954
63,40.7471313918,-73.9873287889
64,40.7453292982,-73.8772935532
65,40.8762570766,-73.8870068194
66,40.6969399074,-73.9008559509
67,40.5805274743,-73.8477198962
68,40.691021087,-73.8557035851
69,40.7118241954,-73.8940416535
70,40.7075056095,-73.8150077184
71,40.7446458835,-73.8650499068
72,40.6929982303,-73.8125345312
73,40.680601918,-73.8352618308
74,40.8478672774,-73.9178467244
75,40.8800498548,-73.8569640307
76,40.7135940256,-73.7486580415
77,40.7306858979,-73.8696785271
78,40.8508317782,-73.9143730166
79,40.6802131679,-73.8212270122
80,40.6727108315,-73.9208707576
81,40.6835711508,-73.8552113207
82,40.6131292562,-73.9201417929
83,40.7591253016,-73.9825004007
84,40.8319828706,-73.8964376422
85,40.6392195039,-74.1642468627
86,40.687434091,-73.7754683083
87,40.7627268446,-73.7998806553
88,40.7096730315,-73.9076361649
89,40.6436595117,-73.9912977726
90,40.608066659,-73.9688039305
91,40.8548902211,-73.9130700598
92,40.7560367744,-73.8882863801
93,40.7675019454,-73.9107400813
94,40.7306858979,-73.8696785271
95,40.6691776881,-73.8510321706
96,40.747156106,-73.9874334453
97,40.6891788348,-73.8714832579
98,40.6420004602,-74.0187624729
99,40.7443920842,-73.9194142554
100,40.6954598153,-73.893955868
101,40.6801708766,-73.8875878368
102,40.6772788877,-73.8914935662
103,40.7615101554,-73.7798968874
104,40.7620611539,-73.906386717
105,40.6066181771,-73.9871465765
106,40.8530247332,-73.9142870542
107,40.8135610386,-73.856174876
108,40.817919483,-73.9101811111
109,40.6886892794,-73.9076363848
110,40.6997865492,-73.8250514568
111,40.6434291203,-74.0060428924
112,40.6482902875,-73.9989981834
113,40.7390103724,-73.9204888997
114,40.8793050372,-73.8496934889
115,40.6784111052,-73.805098158
116,40.6824385674,-73.8853197568
117,40.8310651904,-73.8661827371
118,40.6627381731,-73.9157678887
119,40.707541393,-73.9489737485
120,40.7379779504,-73.8066343526
121,40.653869658,-73.954471193
122,40.5471354501,-74.1613470514
123,40.8289576468,-73.8899200837
124,40.6644437155,-73.9252060019
125,40.7032951378,-73.8642644153
126,40.7379779504,-73.8066343526
127,40.817919483,-73.9101811111
128,40.7627268446,-73.7998806553
129,40.7255359337,-73.8509242299
130,40.7198520896,-73.7563112875
131,40.8331627156,-73.9162459563
132,40.69731686,-73.8897948393
133,40.6450375436,-73.9935785965
134,40.5778775376,-73.9724286886
135,40.7759453123,-73.915093939
136,40.7566635007,-73.8683715884
137,40.8876319893,-73.8625498852
138,40.8718576602,-73.8368200722
139,40.6835711508,-73.8552113207
140,40.6241257866,-73.9395957534
141,40.7323579995,-73.8751236497
142,40.6841440824,-73.8757187223
143,40.8300104433,-73.8804690343
144,40.8697550713,-73.8386656053
145,40.7255359337,-73.8509242299
146,40.8858142516,-73.8959342661
147,40.760667776,-73.9310828961
148,40.6079453279,-73.7567918024
149,40.9024123093,-73.8674064794
150,40.6834626622,-73.7886528233
151,40.6482091482,-73.9183376184
152,40.7458629446,-73.8591215633
153,40.6725719785,-73.8231833663
154,40.7597186005,-73.863817342
155,40.6877007911,-73.8752397346
156,40.8741507363,-73.8654523955
157,40.6872040258,-73.8655267362
158,40.6963839106,-73.8510326886
159,40.6457103867,-73.9442103373
160,40.8774868447,-73.8816746243
161,40.7615611043,-73.8134281053
162,40.6756130122,-73.8754353936
163,40.7446469567,-73.8757610391
164,40.6801943077,-73.8891056639
165,40.6945100387,-73.8007633678
166,40.6092154118,-74.0833938482
167,40.7532658718,-73.868695924
168,40.6812521889,-73.8767408464
169,40.6954006981,-73.8953407451
170,40.6230106008,-73.9638293848
171,40.6991073843,-73.8412604467
172,40.8753757782,-73.8760663992
173,40.8705927238,-73.8410174002
174,40.6985145869,-73.9295495221
175,40.873336396,-73.8661699831
176,40.7615006733,-73.8133993962
177,40.7467179369,-73.9170259045
178,40.6886892794,-73.9076363848
179,40.7635333299,-73.9311521289
180,40.6906486364,-73.8520407447
181,40.6457103867,-73.9442103373
182,40.6494502624,-73.9272156677
183,40.7563230634,-73.8567929663
184,40.6684182226,-73.765824712
185,40.7666673661,-73.9303871658
186,40.6997713229,-73.9166731995
187,40.6243168478,-74.0104396466
188,40.8659805043,-73.8547382467
189,40.6586839295,-73.7278342203
190,40.6830648142,-73.8193553013
191,40.6612007282,-73.9230794638
192,40.588131904,-73.9866388763
193,40.6872123988,-73.8610231191
194,40.629810001,-74.0789306673
195,40.7784374826,-73.8231983349
196,40.7726332376,-73.7421711695
197,40.6094696004,-73.9838289894
198,40.62529932,-73.9236684073
199,40.6955318325,-73.8522318559
200,40.746737887,-73.8702642632
201,40.6076151257,-73.9561486053
202,40.8475385792,-73.86121948
203,40.7615101554,-73.7798968874
204,40.6914614018,-73.8303849345
205,40.6834626622,-73.7886528233
206,40.6797310193,-73.8486651118
207,40.6823901755,-73.9187500539
208,40.7236543171,-73.8725712506
209,40.7016172167,-73.914849589
210,40.8494763182,-73.8835245025
211,40.6291356903,-73.9042026426
212,40.7731333405,-73.9096963443
213,40.7220945219,-73.7351621838
214,40.8585954924,-73.905972481
215,40.8693299659,-73.893298954
216,40.6911571322,-73.838290017
217,40.5981725698,-73.7627617906
218,40.7366289762,-73.8804236576
219,40.6922761926,-73.7947443436
220,40.7424275347,-73.9563088784
221,40.7394046255,-73.8547724339
222,40.6838362419,-73.8542985327
223,40.6730377271,-73.8748057239
224,40.7026538676,-73.9066468623
225,40.8600787901,-73.8655603974
226,40.6786829099,-73.7614226349
227,40.6334652264,-73.989515688
228,40.7586427266,-73.80798573
229,40.6734655756,-73.867162276
230,40.6951206357,-73.8526366609
231,40.6782864603,-73.8060539233
232,40.8333444994,-73.8998287705
233,40.6612007282,-73.9230794638
234,40.6394273701,-73.902678135
235,40.6723831149,-73.8812958845
236,40.7034426623,-73.9270990125
237,40.6823901755,-73.9187500539
238,40.8481500692,-73.8498000329
239,40.7804099769,-73.9137161386
240,40.6755724119,-73.8423331129
241,40.7160068552,-73.9653841744
242,40.6371102658,-73.9087598685
243,40.7446458835,-73.8650499068
244,40.7650139903,-73.9127325115
245,40.6998497281,-73.825083749
246,40.6603697512,-73.893038486
247,40.63848553,-74.0268505059
248,40.6827218089,-73.8194139188
249,40.6967114724,-73.9255051864
250,40.555633861,-74.1963034321
251,40.6821159091,-73.9115898918
252,40.8915077764,-73.8538469721
253,40.7702118767,-73.9233903959
254,40.6556306115,-73.9258033436
255,40.7183251203,-73.9422267866
256,40.7119028396,-73.9490136948
257,40.8614025837,-73.8252264364
258,40.7454212673,-73.8270536643
259,40.6572760497,-73.9236174024
260,40.8719083257,-73.8457183865
261,40.760667776,-73.9310828961
262,40.7716568021,-73.9252047316
263,40.7632007212,-73.8209789955
264,40.8653934345,-73.905142168
265,40.6955985565,-73.9277963766
266,40.6886892794,-73.9076363848
267,40.7528583817,-73.8628965533
268,40.8138993476,-73.8612318252
269,40.7578481599,-73.929818849
270,40.6079453279,-73.7567918024
271,40.6849943329,-73.8541373539
272,40.6422269284,-74.005567144
273,40.6527746752,-73.9625987337
274,40.7473405247,-73.8598618967
275,40.6011966001,-73.7650701721
276,40.7444579823,-73.8787242674
277,40.8475713038,-73.9146916712
278,40.8480233174,-73.917275444
279,40.6924902627,-73.830093833
280,40.626838923,-73.9118432406
281,40.6318012565,-74.1241081427
282,40.7032790515,-73.8645890451
283,40.6318346546,-73.9121212603
284,40.7317457414,-73.856153016
285,40.6905057271,-73.8282021627
286,40.6867209107,-73.9142556363
287,40.6905111844,-73.828180513
288,40.7641521252,-73.8330949825
289,40.8788019905,-73.8491051928
290,40.8876319893,-73.8625498852
291,40.7560703511,-73.8322453446
292,40.7706415738,-73.9300941893
293,40.7090733708,-73.7655628587
294,40.7574580693,-73.9169331153
295,40.7528611092,-73.8628821104
296,40.6775958435,-73.9123457744
297,40.7782888918,-73.8211767377
298,40.7456685503,-73.8762679928
299,40.6325432588,-74.0260086611
300,40.7528583817,-73.8628965533
301,40.7650977116,-73.8680264113
302,40.6906486364,-73.8520407447
303,40.6560118449,-73.9173261341
304,40.6514260216,-73.9264531047
305,40.7301123642,-73.8071695255
306,40.6602104688,-73.7587782565
307,40.8402189919,-73.9236097446
